자치구별(1),자치구별(2),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
자치구별(1),자치구별(2),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),급수대상총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
합계,소계,10297138,10297138,100.0,4450000,3098753,301,2117075,10204057,10204057,100.0,4450000,3100748,303,2156122,10124579,10124579,100.0,4800000,3069987,303,2186966,10049607,10049607,100.0,4800000,3103331,309,2216438,10010983,10010983,100.0,4800000,3059104,306,2245394,9911088,9911088,100.0,4800000,2976579,300,2267989,9736027,9736027,100.0,4800000,2949944,303,2273284,9667669,9667669,100.0,4800000,2931843,303,2252338
합계,종로구,163822,163822,100.0,-,96360,588,50757,161922,161922,100.0,-,80903,500,51526,164257,164257,100.0,-,87070,530,51961,163026,163026,100.0,-,97279,597,52659,161869,161869,100.0,-,94610,584,52992,158996,158996,100.0,-,87506,550,53239,153789,153789,100.0,-,83460,543,53867,152211,152211,100.0,-,82947,544,51046
합계,중구,134329,134329,100.0,-,107235,798,32256,134409,134409,100.0,-,91138,678,33415,134593,134593,100.0,-,96932,720,33788,135633,135633,100.0,-,96707,713,34552,136488,136488,100.0,-,99114,726,35205,134635,134635,100.0,-,88617,658,34595,131787,131787,100.0,-,76934,584,35737,130785,130785,100.0,-,76461,584,33384
합계,용산구,247909,247909,100.0,-,85541,345,52783,245102,245102,100.0,-,80595,329,53446,244444,244444,100.0,-,85745,351,54328,245090,245090,100.0,-,89148,364,54650,245185,245185,100.0,-,83020,339,55551,244645,244645,100.0,-,72358,296,56329,237285,237285,100.0,-,75406,318,56750,233284,233284,100.0,-,74943,321,55007
합계,성동구,305065,305065,100.0,-,85600,281,46442,307161,307161,100.0,-,168037,547,47116,312711,312711,100.0,-,84498,270,47053,316463,316463,100.0,-,58065,183,47942,308979,308979,100.0,-,92985,301,48296,300505,300505,100.0,-,88491,294,46889,292672,292672,100.0,-,90480,309,47581,288234,288234,100.0,-,89924,311,46344
합계,광진구,375180,375180,100.0,-,112138,299,82751,372104,372104,100.0,-,107572,289,86578,372298,372298,100.0,-,111316,299,91152,371063,371063,100.0,-,142620,384,93079,366972,366972,100.0,-,106548,290,95929,360109,360109,100.0,-,102260,284,98450,352627,352627,100.0,-,104558,297,100667,351252,351252,100.0,-,103916,295,99615
합계,동대문구,373824,373824,100.0,-,114986,308,66153,370312,370312,100.0,-,106952,289,67499,366011,366011,100.0,-,116839,319,67894,364338,364338,100.0,-,116839,321,68688,363023,363023,100.0,-,105324,290,68176,357014,357014,100.0,-,102365,287,67681,352006,352006,100.0,-,105127,299,68432,353601,353601,100.0,-,104481,295,67328
합계,중랑구,418620,418620,100.0,-,110047,263,85690,415677,415677,100.0,-,105401,254,90305,412780,412780,100.0,-,100808,244,94770,408147,408147,100.0,-,97023,238,97853,402024,402024,100.0,-,105228,262,100775,399562,399562,100.0,-,105666,264,103253,391885,391885,100.0,-,107581,275,104599,390140,390140,100.0,-,106920,274,104981
합계,성북구,469560,469560,100.0,-,126409,269,80707,461617,461617,100.0,-,123076,267,79952,455407,455407,100.0,-,131930,290,80238,447687,447687,100.0,-,126410,282,81035,454744,454744,100.0,-,124994,275,83185,447056,447056,100.0,-,122858,275,84943,440142,440142,100.0,-,124784,284,84883,441984,441984,100.0,-,124018,280,82985
합계,강북구,334426,334426,100.0,-,87746,262,81740,330704,330704,100.0,-,82766,250,83890,328002,328002,100.0,-,86983,265,86113,322915,322915,100.0,-,85290,264,87096,317695,317695,100.0,-,84241,265,87858,311569,311569,100.0,-,84148,270,88831,302563,302563,100.0,-,82646,273,89464,297702,297702,100.0,-,82138,275,88497
합계,도봉구,353241,353241,100.0,-,87733,248,75661,350272,350272,100.0,-,85867,245,77568,346234,346234,100.0,-,104569,302,78774,341649,341649,100.0,-,90953,266,79918,335631,335631,100.0,-,103843,309,80916,327361,327361,100.0,-,95893,293,82277,319373,319373,100.0,-,85932,269,82470,313989,313989,100.0,-,85404,271,81464
합계,노원구,578221,578221,100.0,-,149352,258,130435,571212,571212,100.0,-,144781,253,130733,558075,558075,100.0,-,127948,229,129851,548160,548160,100.0,-,142362,260,130349,537303,537303,100.0,-,124793,232,129361,527032,527032,100.0,-,129486,246,128841,514946,514946,100.0,-,136104,264,129393,508014,508014,100.0,-,135268,266,126982
합계,은평구,502578,502578,100.0,-,116198,231,123580,495937,495937,100.0,-,120885,244,125406,491202,491202,100.0,-,116422,237,129154,487666,487666,100.0,-,114566,235,130544,484546,484546,100.0,-,110406,228,130165,484043,484043,100.0,-,111342,230,131963,477173,477173,100.0,-,122787,257,134135,470602,470602,100.0,-,122033,259,132224
합계,서대문구,323105,323105,100.0,-,96552,299,71949,325871,325871,100.0,-,93619,287,72335,325028,325028,100.0,-,98616,303,71550,323080,323080,100.0,-,100628,311,72849,323171,323171,100.0,-,103273,320,74031,322952,322952,100.0,-,100647,312,74258,315659,315659,100.0,-,97375,308,74790,319554,319554,100.0,-,96777,302,73723
합계,마포구,398351,398351,100.0,-,121974,306,85943,390887,390887,100.0,-,124936,320,85862,385783,385783,100.0,-,123591,320,86620,386359,386359,100.0,-,124765,323,88001,385925,385925,100.0,-,124035,321,89468,381858,381858,100.0,-,118134,309,90522,378686,378686,100.0,-,115866,306,92193,375585,375585,100.0,-,115155,306,90960
합계,양천구,489010,489010,100.0,-,125072,256,108492,481845,481845,100.0,-,120905,251,109501,475018,475018,100.0,-,125268,264,110375,468145,468145,100.0,-,127486,272,116848,462285,462285,100.0,-,138064,299,112822,457781,457781,100.0,-,126243,276,113811,450487,450487,100.0,-,122347,272,114708,444010,444010,100.0,-,121596,273,113233
합계,강서구,595691,595691,100.0,-,157858,265,145970,602104,602104,100.0,-,154083,256,150757,608255,608255,100.0,-,156122,257,154341,603611,603611,100.0,-,161482,268,154470,598273,598273,100.0,-,145316,243,160254,585901,585901,100.0,-,161600,276,162306,579768,579768,100.0,-,163288,282,163918,574638,574638,100.0,-,162286,282,164295
합계,구로구,454604,454604,100.0,-,128919,284,73219,449600,449600,100.0,-,127107,283,74973,441559,441559,100.0,-,133434,302,76838,438486,438486,100.0,-,135987,310,76878,439371,439371,100.0,-,135917,309,79882,432488,432488,100.0,-,130579,302,81422,421163,421163,100.0,-,127066,302,83064,418418,418418,100.0,-,126286,301,82054
합계,금천구,256167,256167,100.0,-,77243,302,44806,254654,254654,100.0,-,74704,293,47004,253491,253491,100.0,-,78923,311,49809,254021,254021,100.0,-,81600,321,51594,251820,251820,100.0,-,76461,304,55308,247835,247835,100.0,-,74909,302,56682,244891,244891,100.0,-,76163,311,57433,242818,242818,100.0,-,75695,311,58907
합계,영등포구,417811,417811,100.0,-,133319,319,66339,406779,406779,100.0,-,139820,344,66625,402024,402024,100.0,-,132795,330,66584,403600,403600,100.0,-,135934,337,69988,400986,400986,100.0,-,123681,308,70690,407367,407367,100.0,-,133301,327,72942,400908,400908,100.0,-,130544,326,71414,398085,398085,100.0,-,129742,325,72582
합계,동작구,412774,412774,100.0,-,109390,265,76911,413247,413247,100.0,-,114394,277,78853,408493,408493,100.0,-,107412,263,80332,409385,409385,100.0,-,106707,261,81279,408912,408912,100.0,-,114610,280,82771,401572,401572,100.0,-,101628,253,83629,394364,394364,100.0,-,97726,248,81215,390432,390432,100.0,-,97126,248,81135
합계,관악구,529031,529031,100.0,-,161727,306,102355,525607,525607,100.0,-,151293,288,105894,520929,520929,100.0,-,162871,313,110205,520040,520040,100.0,-,166142,319,112851,517334,517334,100.0,-,161060,311,115421,509803,509803,100.0,-,155029,304,118070,499449,499449,100.0,-,151885,304,116948,501226,501226,100.0,-,150953,301,118269
합계,서초구,451258,451258,100.0,-,170393,378,84012,451477,451477,100.0,-,158114,350,85755,445401,445401,100.0,-,156611,352,85998,438163,438163,100.0,-,169594,387,85490,435107,435107,100.0,-,165018,379,84297,429025,429025,100.0,-,161368,376,82495,416167,416167,100.0,-,139344,335,75723,408451,408451,100.0,-,138488,339,75194
합계,강남구,581760,581760,100.0,-,220225,379,120590,572140,572140,100.0,-,230052,402,121005,561052,561052,100.0,-,224705,401,120001,547453,547453,100.0,-,212202,388,114998,550209,550209,100.0,-,206204,375,117039,544055,544055,100.0,-,195849,360,117159,537800,537800,100.0,-,212697,395,114144,534103,534103,100.0,-,211391,395,114804
합계,송파구,667480,667480,100.0,-,193121,289,133476,664946,664946,100.0,-,193773,291,135741,671173,671173,100.0,-,199875,298,138304,673507,673507,100.0,-,201563,299,141329,682741,682741,100.0,-,230804,338,140449,673926,673926,100.0,-,221562,329,141876,663965,663965,100.0,-,214615,323,143374,664514,664514,100.0,-,213298,320,141402
합계,강동구,463321,463321,100.0,-,123615,267,94058,448471,448471,100.0,-,119975,268,94383,440359,440359,100.0,-,118704,270,90933,431920,431920,100.0,-,121979,282,91498,440390,440390,100.0,-,99555,226,94553,463998,463998,100.0,-,104740,226,95526,466472,466472,100.0,-,105229,226,96382,464037,464037,100.0,-,104597,225,95923
