행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7
행정구역(시군)별(1),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%)
행정구역(시군)별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,2752591,568532,2184059,2184059,36,25443,2158580,79.4,2751749,539172,2212577,2212577,36,30376,2182165,80.4,2745070,505999,2239071,2181439,-,27350,2154089,79.5,2733800,492316,2241484,2186423,-,21084,2165339,82.0,2723955,469082,2254873,2203575,-,22044,2181531,82.8,2691891,444000,2247891,2197817,-,24931,2172886,83.5
포항시,524634,102045,422589,422589,-,-,422589,80.5,522030,91151,430879,430879,-,-,430879,82.5,519216,85866,433350,433350,-,-,433350,83.4,515945,84714,431231,431231,-,800,430431,83.6,513104,75794,437310,437310,-,-,437310,85.2,508791,75794,432997,432997,-,-,432997,85.1
경주시,268970,25756,243214,243214,-,-,243214,90.4,268928,24633,244295,244295,-,-,244295,90.8,268091,18307,249784,244087,-,-,244087,93.1,268160,14793,253367,248465,-,-,248465,94.5,267196,15310,251886,247460,-,-,247460,94.3,263704,14851,248853,244448,-,-,244448,94.4
김천시,141987,32910,109077,109077,-,-,109077,76.8,144254,30254,114000,114000,-,-,114000,79.0,145068,28871,116197,116197,-,-,116197,80.0,143480,25960,117520,117520,-,-,117520,81.9,143620,22042,121578,121578,-,-,121578,84.7,142757,21612,121145,121145,-,-,121145,84.9
안동시,170591,37135,133456,133456,-,-,133456,78.2,170133,36677,133456,133456,-,-,133456,78.4,167737,35227,132510,132296,-,395,131901,78.9,163713,32518,131195,130996,-,371,130625,80.1,161533,31830,129703,129502,-,367,129135,80.3,160217,31855,128362,128167,-,356,127811,80.1
구미시,425792,8438,417354,417354,-,-,417354,98.0,425492,8138,417354,417354,-,-,417354,98.1,427248,8628,418620,418620,-,-,418620,97.9,426684,8742,417942,417440,-,-,417440,98.0,424719,6777,417942,417440,-,-,417440,98.4,420987,6140,414847,414345,-,-,414345,98.5
영주시,110637,15262,95375,95375,-,7636,87739,86.2,110287,14680,95607,95607,-,7543,88064,86.7,109468,14351,95117,95117,-,7495,87622,86.8,107976,14032,93944,93944,-,7820,86124,87.0,106170,13272,92898,92898,-,7697,85201,87.5,104012,13423,90589,90589,-,7591,82998,87.1
영천시,103677,29227,74450,74450,-,10045,64405,71.8,103613,28761,74852,74852,-,10045,64807,72.2,104161,28392,75769,75769,-,9672,66097,72.7,104970,29716,75254,75224,-,584,74640,71.7,105721,29093,76628,76598,-,584,76014,72.5,104875,25508,79367,79337,-,584,78753,75.7
상주시,103267,33423,69844,69844,-,-,69844,67.6,102701,31682,71019,71019,-,-,71019,69.2,101860,27879,73981,68259,-,-,68259,72.6,101237,27786,73451,67689,-,100,67589,72.6,101678,27754,73924,68304,-,100,68204,72.7,98138,25976,72162,67223,-,-,67223,73.5
문경시,76387,13653,62734,62734,-,-,62734,82.1,75357,13707,61650,61650,-,-,61650,81.8,73926,13018,60908,60908,-,-,60908,82.4,72547,12655,59892,59892,-,783,59109,82.6,72924,12666,60258,60258,-,753,59505,82.6,72067,12666,59401,59401,-,1414,57987,82.4
경산시,264570,22888,241682,241682,-,-,241682,91.3,266486,23114,243372,243372,-,-,243372,91.3,268679,18092,250587,210992,-,-,210992,93.2,272070,18530,253540,215245,-,-,215245,93.2,274898,20981,253917,218742,-,-,218742,92.4,274117,19570,254547,219840,-,-,219840,92.9
군위군,24702,15316,9386,9386,-,3920,5466,38.0,24787,15401,9386,9386,-,3944,5442,37.9,24780,15336,9444,9444,-,3988,5456,38.1,24465,15770,8695,8695,-,3239,5456,35.5,24381,15148,9233,9233,-,3587,5646,37.9,23748,12926,10822,10822,-,5176,5646,45.6
의성군,55236,30816,24420,24420,-,-,24420,44.2,54722,30527,24195,24195,-,-,24195,44.2,54080,30124,23956,23956,-,-,23956,44.2,53579,29130,24449,24449,-,-,24449,45.6,53237,27191,26046,26046,-,-,26046,48.9,52294,26737,25557,25557,-,-,25557,48.9
청송군,26615,15241,11374,11374,-,778,10596,42.7,26552,15178,11374,11374,-,778,10596,42.8,26201,14763,11438,11438,-,842,10596,43.6,25881,14367,11514,11514,-,893,10621,44.5,25623,12687,12936,12936,-,2744,10192,50.5,25223,12016,13207,13207,-,3255,9952,52.4
영양군,18125,8265,9860,9860,-,-,9860,54.4,17929,8158,9771,9771,-,-,9771,54.5,17696,8013,9683,8826,-,-,8826,54.7,17562,7300,10262,10239,-,-,10239,58.4,17198,6963,10235,10235,-,-,10235,59.5,16884,6234,10650,10632,-,-,10632,63.1
영덕군,39963,10366,29597,29597,-,-,29597,74.1,39973,10353,29620,29620,-,-,29620,74.1,39475,9987,29488,29444,-,-,29444,74.7,39104,9541,29563,29519,-,-,29519,75.6,38358,8822,29536,29492,-,-,29492,77.0,37249,8385,28864,28820,-,-,28820,77.5
청도군,44751,20318,24433,24433,-,-,24433,54.6,44603,19750,24853,24853,-,-,24853,55.7,44366,19513,24853,24853,-,-,24853,56.0,44129,19276,24853,24853,-,-,24853,56.3,43952,19099,24853,24853,-,-,24853,56.5,43229,18251,24978,24978,-,-,24978,57.8
고령군,36439,14668,21771,21771,36,309,21426,59.7,36069,14332,21737,21737,36,3113,18588,60.3,35525,13380,22145,21544,-,-,21544,62.3,34673,13047,21626,21107,-,-,21107,62.4,34122,12492,21630,21115,-,-,21115,63.4,32891,11985,20906,20391,-,-,20391,63.6
성주군,46665,29876,16789,16789,-,-,16789,36.0,46886,29392,17494,17494,-,-,17494,37.3,46846,28985,17861,17647,-,-,17647,38.1,46323,26249,20074,19860,-,-,19860,43.3,45713,24450,21263,21049,-,-,21049,46.5,44970,22480,22490,22276,-,-,22276,50.0
칠곡군,126961,35455,91506,91506,-,-,91506,72.1,127330,30593,96737,96737,-,-,96737,76.0,124837,28316,96521,92057,-,-,92057,77.3,122789,28284,94505,90158,-,-,90158,77.0,121085,28284,92801,88454,-,-,88454,76.6,118430,26315,92115,87768,-,-,87768,77.8
예천군,45152,23101,22051,22051,-,1777,20274,48.8,46688,21959,24729,24729,-,3980,20749,53.0,49786,20950,28836,28836,-,3980,24856,57.9,53811,21450,32361,32361,-,5539,26822,60.1,55664,20211,35453,35453,-,5290,30163,63.7,56165,19488,36677,36677,-,5653,31024,65.3
봉화군,34088,13013,21075,21075,-,-,21075,61.8,33809,12907,20902,20902,-,-,20902,61.8,33561,12773,20788,20564,-,-,20564,61.9,33150,12773,20377,20153,-,-,20153,61.5,32464,11525,20939,20715,-,-,20715,64.5,31812,8658,23154,22996,-,-,22996,72.8
울진군,53103,21221,31882,31882,-,978,30904,60.0,52974,17854,35120,35120,-,973,34147,66.3,52337,15270,37067,37067,-,978,36089,70.8,51538,15833,35705,35705,-,955,34750,69.3,50810,17019,33791,33791,-,922,32869,66.5,50104,14403,35701,35701,-,902,34799,71.3
울릉군,10279,10139,140,140,-,-,140,1.4,10146,9971,175,175,-,-,175,1.7,10126,9958,168,168,-,-,168,1.6,10014,9850,164,164,-,-,164,1.6,9785,9672,113,113,-,-,113,1.2,9227,8727,500,500,-,-,500,5.4
