±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.027 ,0.027 ,0.027 ,0.029 ,0.027 ,0.030 ,0.030 ,0.032 ,0.033 ,0.033 
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.023 ,0.022 ,0.024 ,0.028 ,0.023 ,0.025 ,0.025 ,0.028 ,0.029 ,0.031 
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.029 ,0.029 ,0.029 ,0.030 ,0.029 ,0.031 ,0.031 ,0.033 ,0.033 ,0.033 
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.026 ,0.027 ,0.030 ,0.027 ,0.029 ,0.028 ,0.030 ,0.032 ,0.031 
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.025 ,0.026 ,0.027 ,0.025 ,0.029 ,0.029 ,0.031 ,0.031 ,0.033 
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.028 ,0.028 ,0.030 ,0.030 ,0.028 ,0.030 ,0.029 ,0.033 ,0.033 ,0.033 
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.025 ,0.028 ,0.029 ,0.027 ,0.025 ,0.027 ,0.030 ,0.030 ,0.031 
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.028 ,0.028 ,0.027 ,0.030 ,0.028 ,0.031 ,0.032 ,0.033 ,0.034 ,0.033 
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.028 ,0.030 ,0.027 ,0.028 ,0.029 ,0.031 ,0.032 ,0.030 
ºˆø¯,≥‚∆Ú±’,0.023 ,0.023 ,0.023 ,0.027 ,0.023 ,0.025 ,0.026 ,0.029 ,0.029 ,0.030 
æ»æÁ,≥‚∆Ú±’,0.023 ,0.021 ,0.024 ,0.027 ,0.022 ,0.024 ,0.027 ,0.027 ,0.029 ,0.030 
º∫≥≤,≥‚∆Ú±’,0.022 ,0.021 ,0.022 ,0.026 ,0.023 ,0.024 ,0.025 ,0.028 ,0.029 ,0.030 
¿«¡§∫Œ,≥‚∆Ú±’,0.025 ,0.026 ,0.025 ,0.027 ,0.029 ,0.028 ,0.026 ,0.029 ,0.028 ,0.028 
±§∏Ì,≥‚∆Ú±’,0.025 ,0.024 ,0.025 ,0.028 ,0.023 ,0.027 ,0.028 ,0.029 ,0.031 ,0.031 
æ»ªÍ,≥‚∆Ú±’,0.026 ,0.026 ,0.025 ,0.028 ,0.025 ,0.027 ,0.028 ,0.029 ,0.029 ,0.030 
∆Ú≈√,≥‚∆Ú±’,0.023 ,0.026 ,0.028 ,0.029 ,0.024 ,0.029 ,0.029 ,0.031 ,0.032 ,0.034 
∞˙√µ,≥‚∆Ú±’,0.022 ,0.022 ,0.023 ,0.025 ,0.021 ,0.024 ,0.026 ,0.027 ,0.027 ,0.030 
±∏∏Æ,≥‚∆Ú±’,0.027 ,0.027 ,0.026 ,0.027 ,0.024 ,0.025 ,0.027 ,0.028 ,0.027 ,0.026 
¿«ø’,≥‚∆Ú±’,0.021 ,0.021 ,0.022 ,0.025 ,0.021 ,0.024 ,0.027 ,0.027 ,0.029 ,0.030 
∞ÌæÁ,≥‚∆Ú±’,0.025 ,0.027 ,0.026 ,0.028 ,0.025 ,0.029 ,0.030 ,0.030 ,0.030 ,0.032 
±§¡÷,≥‚∆Ú±’,0.022 ,0.021 ,0.022 ,0.025 ,0.019 ,0.023 ,0.024 ,0.026 ,0.028 ,0.028 
±∫∆˜,≥‚∆Ú±’,0.024 ,0.023 ,0.027 ,0.028 ,0.023 ,0.027 ,0.029 ,0.028 ,0.028 ,0.031 
Ω√»Ô,≥‚∆Ú±’,0.025 ,0.025 ,0.027 ,0.029 ,0.024 ,0.027 ,0.029 ,0.031 ,0.028 ,0.029 
∫Œ√µ,≥‚∆Ú±’,0.022 ,0.024 ,0.024 ,0.026 ,0.021 ,0.025 ,0.026 ,0.028 ,0.028 ,0.030 
≥≤æÁ¡÷,≥‚∆Ú±’,0.026 ,0.025 ,0.025 ,0.027 ,0.027 ,0.026 ,0.026 ,0.028 ,0.029 ,0.030 
øÎ¿Œ,≥‚∆Ú±’,0.023 ,0.022 ,0.021 ,0.023 ,0.021 ,0.025 ,0.026 ,0.028 ,0.029 ,0.031 
±Ë∆˜,≥‚∆Ú±’,0.030 ,0.027 ,0.028 ,0.031 ,0.027 ,0.031 ,0.031 ,0.034 ,0.033 ,0.035 
ø¿ªÍ,≥‚∆Ú±’,0.025 ,0.025 ,0.025 ,0.026 ,0.024 ,0.026 ,0.027 ,0.028 ,0.028 ,0.032 
«œ≥≤,≥‚∆Ú±’,0.024 ,0.021 ,0.021 ,0.025 ,0.021 ,0.024 ,0.023 ,0.027 ,0.029 ,0.028 
»≠º∫,≥‚∆Ú±’,0.025 ,0.029 ,0.028 ,0.026 ,0.026 ,0.030 ,0.031 ,0.032 ,0.032 ,0.033 
æÁ¡÷,≥‚∆Ú±’,0.027 ,0.032 ,0.030 ,0.031 ,0.032 ,0.031 ,0.029 ,0.030 ,0.031 ,0.030 
µøµŒ√µ,≥‚∆Ú±’,0.031 ,0.030 ,0.026 ,0.029 ,0.031 ,0.030 ,0.027 ,0.029 ,0.028 ,0.030 
æ»º∫,≥‚∆Ú±’,0.025 ,0.025 ,0.025 ,0.027 ,0.025 ,0.032 ,0.030 ,0.031 ,0.031 ,0.032 
¿Ã√µ,≥‚∆Ú±’,0.027 ,0.027 ,0.025 ,0.028 ,0.025 ,0.028 ,0.030 ,0.031 ,0.029 ,0.031 
∆ƒ¡÷,≥‚∆Ú±’,0.028 ,0.030 ,0.027 ,0.029 ,0.025 ,0.028 ,0.028 ,0.030 ,0.029 ,0.023 
∆˜√µ,≥‚∆Ú±’,0.029 ,0.039 ,0.027 ,0.032 ,0.031 ,0.031 ,0.029 ,0.030 ,0.031 ,0.032 
ø©¡÷,≥‚∆Ú±’,0.026 ,0.025 ,0.027 ,0.026 ,0.025 ,0.026 ,0.029 ,0.028 ,0.030 ,0.029 
ø¨√µ,≥‚∆Ú±’,0.031 ,0.030 ,0.028 ,0.028 ,0.028 ,0.031 ,0.027 ,0.028 ,0.024 ,0.029 
∞°∆Ú,≥‚∆Ú±’,0.029 ,0.025 ,0.028 ,0.028 ,0.028 ,0.028 ,0.026 ,0.029 ,0.028 ,0.028 
æÁ∆Ú,≥‚∆Ú±’,0.029 ,0.027 ,0.028 ,0.027 ,0.026 ,0.027 ,0.027 ,0.027 ,0.029 ,0.029 
µµ∆Ú±’,≥‚∆Ú±’,0.025 ,0.025 ,0.025 ,0.027 ,0.025 ,0.027 ,0.028 ,0.029 ,0.029 ,0.031 
æÁ±∏,≥‚∆Ú±’,,,,,,0.029 ,0.029 ,0.031 ,0.033 ,0.032 
∞Ìº∫,≥‚∆Ú±’,,,,,0.024 ,0.034 ,0.034 ,0.033 ,0.036 ,0.038 
¡§º±,≥‚∆Ú±’,,,,,,0.035 ,0.036 ,0.033 ,0.034 ,0.033 
»æº∫,≥‚∆Ú±’,,,,,0.014 ,0.025 ,0.023 ,0.025 ,0.031 ,0.035 
√·√µ,≥‚∆Ú±’,0.030 ,0.030 ,,0.027 ,0.028 ,0.028 ,0.029 ,0.029 ,0.033 ,0.037 
∞≠∏™,≥‚∆Ú±’,0.028 ,0.030 ,0.030 ,0.031 ,0.034 ,0.038 ,0.036 ,0.036 ,0.036 ,0.038 
ø¯¡÷,≥‚∆Ú±’,0.026 ,0.025 ,0.024 ,0.028 ,0.027 ,0.028 ,0.023 ,0.027 ,0.030 ,0.031 
µø«ÿ,≥‚∆Ú±’,0.029 ,0.027 ,0.027 ,0.030 ,0.032 ,0.032 ,0.026 ,0.028 ,0.035 ,0.036 
ªÔ√¥,≥‚∆Ú±’,0.031 ,0.030 ,0.030 ,0.030 ,0.031 ,0.031 ,0.027 ,0.028 ,0.034 ,0.033 
∆Ú√¢,≥‚∆Ú±’,,,,,0.029 ,0.029 ,0.030 ,0.029 ,0.031 ,0.029 
æÁæÁ,≥‚∆Ú±’,,,,,,0.038 ,0.036 ,0.039 ,0.037 ,0.042 
º”√ ,≥‚∆Ú±’,,,,,,0.039 ,0.035 ,0.032 ,0.033 ,0.035 
øµø˘,≥‚∆Ú±’,,,,,,0.031 ,0.030 ,0.029 ,0.030 ,0.027 
√∂ø¯,≥‚∆Ú±’,,,,,,0.036 ,0.034 ,0.035 ,0.033 ,0.033 
»´√µ,≥‚∆Ú±’,,,,,,0.027 ,0.025 ,0.026 ,0.029 ,0.025 
»≠√µ,≥‚∆Ú±’,,,,,,0.028 ,0.029 ,0.028 ,0.029 ,0.027 
≈¬πÈ,≥‚∆Ú±’,,,,,,0.039 ,0.037 ,0.036 ,0.035 ,0.037 
¿Œ¡¶,≥‚∆Ú±’,,,,,,0.032 ,0.031 ,0.032 ,0.034 ,0.036 
µµ∆Ú±’,≥‚∆Ú±’,0.028 ,0.028 ,0.027 ,0.028 ,0.029 ,0.031 ,0.030 ,0.030 ,0.032 ,0.033 
±´ªÍ,≥‚∆Ú±’,,,,,,0.029 ,0.029 ,0.028 ,0.029 ,0.029 
¿Ωº∫,≥‚∆Ú±’,,,,,,0.033 ,0.030 ,0.030 ,0.031 ,0.030 
√ª¡÷,≥‚∆Ú±’,0.027 ,0.025 ,0.026 ,0.028 ,0.026 ,0.027 ,0.027 ,0.030 ,0.030 ,0.030 
√Ê¡÷,≥‚∆Ú±’,0.027 ,0.026 ,0.026 ,0.029 ,0.025 ,0.025 ,0.028 ,0.030 ,0.029 ,0.029 
¡¶√µ,≥‚∆Ú±’,0.026 ,0.025 ,0.024 ,0.026 ,0.025 ,0.025 ,0.025 ,0.028 ,0.028 ,0.028 
√ªø¯,≥‚∆Ú±’,0.030 ,,,,,,,,,
¥‹æÁ,≥‚∆Ú±’,0.021 ,0.025 ,0.023 ,0.025 ,0.023 ,0.021 ,0.026 ,0.028 ,0.029 ,0.029 
¡¯√µ,≥‚∆Ú±’,,,0.023 ,0.032 ,0.029 ,0.030 ,0.031 ,0.033 ,0.032 ,0.035 
ø¡√µ,≥‚∆Ú±’,,,,0.031 ,0.026 ,0.027 ,0.025 ,0.030 ,0.030 ,0.031 
øµµø,≥‚∆Ú±’,,,,,0.030 ,0.031 ,0.027 ,0.032 ,0.033 ,0.031 
¡ı∆Ú,≥‚∆Ú±’,,,,,0.027 ,0.026 ,0.027 ,0.025 ,0.032 ,0.033 
∫∏¿∫,≥‚∆Ú±’,,,,,,0.031 ,0.030 ,0.029 ,0.030 ,0.031 
µµ∆Ú±’,≥‚∆Ú±’,0.026 ,0.025 ,0.026 ,0.028 ,0.026 ,0.027 ,0.028 ,0.030 ,0.030 ,0.030 
√µæ»,≥‚∆Ú±’,0.024 ,0.025 ,0.028 ,0.027 ,0.026 ,0.029 ,0.027 ,0.034 ,0.033 ,0.031 
¥Á¡¯,≥‚∆Ú±’,0.032 ,0.032 ,0.035 ,0.032 ,0.028 ,0.032 ,0.034 ,0.039 ,0.035 ,0.036 
º≠ªÍ,≥‚∆Ú±’,0.032 ,0.030 ,0.033 ,0.033 ,0.033 ,0.037 ,0.036 ,0.039 ,0.039 ,0.040 
æ∆ªÍ,≥‚∆Ú±’,0.025 ,0.023 ,0.031 ,0.031 ,0.025 ,0.028 ,0.031 ,0.032 ,0.033 ,0.034 
≥ÌªÍ,≥‚∆Ú±’,,,,0.023 ,0.027 ,0.031 ,0.028 ,0.035 ,0.033 ,0.033 
≈¬æ»,≥‚∆Ú±’,,,,0.030 ,0.029 ,0.033 ,0.032 ,0.039 ,0.039 ,0.041 
∫∏∑…,≥‚∆Ú±’,,,,0.036 ,0.034 ,0.037 ,0.032 ,0.044 ,0.040 ,0.037 
»´º∫,≥‚∆Ú±’,,,,0.032 ,0.027 ,0.031 ,0.033 ,0.038 ,0.039 ,0.036 
∞¯¡÷,≥‚∆Ú±’,,,,0.021 ,0.029 ,0.034 ,0.030 ,0.032 ,0.034 ,0.035 
∫Œø©,≥‚∆Ú±’,,,,0.025 ,0.032 ,0.033 ,0.028 ,0.029 ,0.034 ,0.031 
√ªæÁ,≥‚∆Ú±’,,,,,0.031 ,0.032 ,0.032 ,0.035 ,0.034 ,0.034 
±›ªÍ,≥‚∆Ú±’,,,,,0.030 ,0.031 ,0.026 ,0.030 ,0.034 ,0.033 
øπªÍ,≥‚∆Ú±’,,,,0.034 ,0.031 ,0.033 ,0.030 ,0.036 ,0.035 ,0.035 
∞Ë∑Ê,≥‚∆Ú±’,,,,,0.034 ,0.033 ,0.028 ,0.028 ,0.034 ,0.036 
º≠√µ,≥‚∆Ú±’,,,,,0.037 ,0.033 ,0.036 ,0.039 ,0.039 ,0.033 
µµ∆Ú±’,≥‚∆Ú±’,0.029 ,0.028 ,0.032 ,0.031 ,0.029 ,0.032 ,0.032 ,0.036 ,0.036 ,0.035 
¿”Ω«,≥‚∆Ú±’,,,,,0.020 ,0.023 ,0.023 ,0.032 ,0.030 ,0.032 
¿¸¡÷,≥‚∆Ú±’,0.029 ,0.029 ,0.031 ,0.032 ,0.030 ,0.032 ,0.032 ,0.032 ,0.032 ,0.033 
±∫ªÍ,≥‚∆Ú±’,0.032 ,0.029 ,0.031 ,0.031 ,0.029 ,0.033 ,0.035 ,0.036 ,0.037 ,0.038 
¿ÕªÍ,≥‚∆Ú±’,0.031 ,0.027 ,0.031 ,0.029 ,0.027 ,0.030 ,0.030 ,0.030 ,0.032 ,0.034 
≥≤ø¯,≥‚∆Ú±’,0.032 ,0.032 ,0.033 ,0.033 ,0.033 ,0.033 ,0.031 ,0.033 ,0.037 ,0.035 
¡§¿æ,≥‚∆Ú±’,0.023 ,0.023 ,0.026 ,0.033 ,0.032 ,0.033 ,0.030 ,0.031 ,0.033 ,0.035 
∞Ì√¢,≥‚∆Ú±’,0.039 ,0.039 ,0.040 ,0.037 ,0.037 ,0.039 ,0.038 ,0.038 ,0.038 ,0.038 
∫Œæ»,≥‚∆Ú±’,,0.037 ,0.038 ,0.038 ,0.038 ,0.039 ,0.038 ,0.038 ,0.037 ,0.038 
±Ë¡¶,≥‚∆Ú±’,,,0.028 ,0.036 ,0.034 ,0.034 ,0.034 ,0.035 ,0.034 ,0.036 
øœ¡÷,≥‚∆Ú±’,,,,,0.036 ,0.036 ,0.031 ,0.033 ,0.033 ,0.034 
¡¯æ»,≥‚∆Ú±’,,,,,0.027 ,0.032 ,0.029 ,0.029 ,0.033 ,0.033 
π´¡÷,≥‚∆Ú±’,,,,,0.028 ,0.033 ,0.032 ,0.033 ,0.032 ,0.035 
º¯√¢,≥‚∆Ú±’,,,,,0.019 ,0.032 ,0.033 ,0.031 ,0.030 ,0.033 
¿Âºˆ,≥‚∆Ú±’,,,,,0.031 ,0.039 ,0.035 ,0.033 ,0.035 ,0.035 
µµ∆Ú±’,≥‚∆Ú±’,0.030 ,0.029 ,0.032 ,0.032 ,0.031 ,0.033 ,0.032 ,0.034 ,0.034 ,0.035 
»≠º¯,≥‚∆Ú±’,,,,,,0.028 ,0.026 ,0.029 ,0.033 ,0.031 
ø©ºˆ,≥‚∆Ú±’,0.033 ,0.029 ,0.030 ,0.027 ,0.029 ,0.030 ,0.029 ,0.033 ,0.036 ,0.035 
±§æÁ,≥‚∆Ú±’,0.030 ,0.028 ,0.029 ,0.028 ,0.028 ,0.034 ,0.030 ,0.033 ,0.031 ,0.031 
º¯√µ,≥‚∆Ú±’,0.028 ,0.028 ,0.030 ,0.035 ,0.031 ,0.038 ,0.038 ,0.039 ,0.040 ,0.038 
∏Ò∆˜,≥‚∆Ú±’,0.034 ,0.037 ,0.036 ,0.030 ,0.029 ,0.033 ,0.033 ,0.036 ,0.036 ,0.037 
øµæœ,≥‚∆Ú±’,0.038 ,0.038 ,0.034 ,0.033 ,0.031 ,0.035 ,0.030 ,0.031 ,0.033 ,0.033 
≥™¡÷,≥‚∆Ú±’,,,,,0.031 ,0.031 ,0.040 ,0.038 ,0.035 ,0.033 
¥„æÁ,≥‚∆Ú±’,,,,,0.023 ,0.023 ,0.022 ,0.022 ,0.031 ,0.032 
¿Âº∫,≥‚∆Ú±’,,,,,0.029 ,0.030 ,0.031 ,0.028 ,0.030 ,0.032 
«ÿ≥≤,≥‚∆Ú±’,,,,,0.033 ,0.038 ,0.037 ,0.038 ,0.038 ,0.034 
øµ±§,≥‚∆Ú±’,,,,,0.024 ,0.041 ,0.037 ,0.040 ,0.037 ,0.036 
¿Â»Ô,≥‚∆Ú±’,,,,,,0.039 ,0.037 ,0.041 ,0.037 ,0.040 
¡¯µµ,≥‚∆Ú±’,,,,,,0.033 ,0.031 ,0.036 ,0.039 ,0.039 
øœµµ,≥‚∆Ú±’,,,,,,0.035 ,0.028 ,0.032 ,0.033 ,0.030 
«‘∆Ú,≥‚∆Ú±’,,,,,,0.033 ,0.025 ,0.034 ,0.035 ,0.037 
∞Ì»Ô,≥‚∆Ú±’,,,,,,0.027 ,0.039 ,0.031 ,0.034 ,0.034 
Ω≈æ»,≥‚∆Ú±’,,,,,,0.046 ,0.043 ,0.042 ,0.042 ,0.042 
π´æ»,≥‚∆Ú±’,,,,,,0.034 ,0.035 ,0.036 ,0.035 ,0.035 
∞≠¡¯,≥‚∆Ú±’,,,,,,0.035 ,0.040 ,0.040 ,0.039 ,0.037 
∞Óº∫,≥‚∆Ú±’,,,,,,0.023 ,0.030 ,0.035 ,0.032 ,0.031 
±∏∑ ,≥‚∆Ú±’,,,,,,0.021 ,0.029 ,0.027 ,0.026 ,0.024 
∫∏º∫,≥‚∆Ú±’,,,,,,0.025 ,0.028 ,0.029 ,0.030 ,0.029 
µµ∆Ú±’,≥‚∆Ú±’,0.031 ,0.030 ,0.031 ,0.030 ,0.029 ,0.033 ,0.032 ,0.034 ,0.035 ,0.034 
øµ¥ˆ,≥‚∆Ú±’,,,,,,,0.037 ,0.036 ,0.038 ,0.040 
øµ√µ,≥‚∆Ú±’,,,,,,0.033 ,0.033 ,0.032 ,0.033 ,0.032 
¿«º∫,≥‚∆Ú±’,,,,,,,0.031 ,0.029 ,0.033 ,0.031 
øÔ∏™µµ,≥‚∆Ú±’,,,,,,0.039 ,0.044 ,0.045 ,0.045 ,0.046 
∆˜«◊,≥‚∆Ú±’,0.030 ,0.031 ,0.033 ,0.033 ,0.035 ,0.035 ,0.034 ,0.033 ,0.033 ,0.034 
±∏πÃ,≥‚∆Ú±’,0.029 ,0.032 ,0.030 ,0.031 ,0.030 ,0.032 ,0.033 ,0.029 ,0.032 ,0.031 
±Ë√µ,≥‚∆Ú±’,0.030 ,0.031 ,0.031 ,0.029 ,0.033 ,0.035 ,0.033 ,0.030 ,0.034 ,0.034 
∞Ê¡÷,≥‚∆Ú±’,0.027 ,0.026 ,0.027 ,0.028 ,0.028 ,0.028 ,0.032 ,0.032 ,0.033 ,0.032 
æ»µø,≥‚∆Ú±’,0.029 ,0.028 ,0.027 ,0.028 ,0.030 ,0.034 ,0.032 ,0.033 ,0.033 ,0.032 
øµ¡÷,≥‚∆Ú±’,0.029 ,0.030 ,0.029 ,0.029 ,0.029 ,0.031 ,0.029 ,0.028 ,0.031 ,0.032 
∞ÊªÍ,≥‚∆Ú±’,0.028 ,0.026 ,0.024 ,0.027 ,0.027 ,0.029 ,0.030 ,0.032 ,0.030 ,0.032 
ªÛ¡÷,≥‚∆Ú±’,,,,,0.032 ,0.034 ,0.036 ,0.040 ,0.034 ,0.034 
ƒ•∞Ó,≥‚∆Ú±’,,,,,0.029 ,0.030 ,0.030 ,0.030 ,0.030 ,0.030 
øÔ¡¯,≥‚∆Ú±’,,,,,,0.039 ,0.037 ,0.038 ,0.039 ,0.040 
∫¿»≠,≥‚∆Ú±’,,,,,,0.031 ,0.032 ,0.029 ,0.030 ,0.031 
∞Ì∑…,≥‚∆Ú±’,,,,,,0.025 ,0.032 ,0.033 ,0.032 ,0.031 
±∫¿ß,≥‚∆Ú±’,,,,,,,0.034 ,0.031 ,0.031 ,0.037 
º∫¡÷,≥‚∆Ú±’,,,,,,,0.029 ,0.029 ,0.027 ,0.027 
øπ√µ,≥‚∆Ú±’,,,,,,,0.039 ,0.039 ,0.038 ,0.037 
√ªµµ,≥‚∆Ú±’,,,,,,,0.033 ,0.033 ,0.033 ,0.031 
√ªº€,≥‚∆Ú±’,,,,,,,0.034 ,0.035 ,0.034 ,0.029 
øµæÁ,≥‚∆Ú±’,,,,,,,0.036 ,0.034 ,0.034 ,0.033 
πÆ∞Ê,≥‚∆Ú±’,,,,,,,0.033 ,0.030 ,0.031 ,0.030 
µµ∆Ú±’,≥‚∆Ú±’,0.029 ,0.030 ,0.030 ,0.030 ,0.031 ,0.033 ,0.033 ,0.033 ,0.033 ,0.033 
√¢ø¯,≥‚∆Ú±’,0.031 ,0.029 ,0.029 ,0.034 ,0.031 ,0.032 ,0.032 ,0.033 ,0.034 ,0.033 
∏∂ªÍ,≥‚∆Ú±’,0.028 ,,,,,,,,,
¡¯¡÷,≥‚∆Ú±’,0.030 ,0.029 ,0.030 ,0.033 ,0.031 ,0.032 ,0.032 ,0.026 ,0.034 ,0.032 
¡¯«ÿ,≥‚∆Ú±’,0.030 ,,,,,,,,,
«œµø,≥‚∆Ú±’,0.034 ,0.033 ,0.032 ,0.032 ,0.032 ,0.039 ,0.037 ,0.038 ,0.037 ,0.035 
±Ë«ÿ,≥‚∆Ú±’,0.028 ,0.028 ,0.027 ,0.032 ,0.029 ,0.030 ,0.033 ,0.033 ,0.033 ,0.032 
æÁªÍ,≥‚∆Ú±’,0.026 ,0.026 ,0.025 ,0.031 ,0.030 ,0.031 ,0.032 ,0.033 ,0.032 ,0.031 
∞≈¡¶,≥‚∆Ú±’,0.035 ,0.036 ,0.034 ,0.037 ,0.039 ,0.037 ,0.035 ,0.037 ,0.043 ,0.038 
ªÁ√µ,≥‚∆Ú±’,0.031 ,0.031 ,0.028 ,0.032 ,0.033 ,0.034 ,0.035 ,0.038 ,0.037 ,0.034 
π–æÁ,≥‚∆Ú±’,,,,0.017 ,0.032 ,0.034 ,0.033 ,0.033 ,0.035 ,0.034 
≈Îøµ,≥‚∆Ú±’,,,,0.012 ,0.034 ,0.039 ,0.036 ,0.039 ,0.038 ,0.038 
∞Ìº∫,≥‚∆Ú±’,,,,,,0.036 ,0.037 ,0.035 ,0.036 ,0.038 
∞≈√¢,≥‚∆Ú±’,,,,,,0.033 ,0.033 ,0.031 ,0.028 ,0.026 
«‘æ»,≥‚∆Ú±’,,,,,,0.033 ,0.031 ,0.031 ,0.031 ,0.029 
«‘æÁ,≥‚∆Ú±’,,,,,,0.036 ,0.035 ,0.035 ,0.035 ,0.032 
≥≤«ÿ,≥‚∆Ú±’,,,,,,0.039 ,0.035 ,0.036 ,0.036 ,0.036 
ªÍ√ª,≥‚∆Ú±’,,,,,,0.023 ,0.035 ,0.036 ,0.034 ,0.031 
¿«∑…,≥‚∆Ú±’,,,,,,0.021 ,0.035 ,0.031 ,0.035 ,0.030 
√¢≥Á,≥‚∆Ú±’,,,,,,0.019 ,0.033 ,0.032 ,0.033 ,0.030 
«’√µ,≥‚∆Ú±’,,,,,,0.020 ,0.032 ,0.035 ,0.030 ,0.032 
µµ∆Ú±’,≥‚∆Ú±’,0.030 ,0.030 ,0.029 ,0.033 ,0.031 ,0.033 ,0.033 ,0.034 ,0.034 ,0.033 
¡¶¡÷,≥‚∆Ú±’,0.037 ,0.036 ,0.034 ,0.036 ,0.039 ,0.044 ,0.038 ,0.041 ,0.040 ,0.041 
º≠±Õ∆˜,≥‚∆Ú±’,0.040 ,0.039 ,0.034 ,0.033 ,0.039 ,0.044 ,0.041 ,0.044 ,0.044 ,0.042 
µµ∆Ú±’,≥‚∆Ú±’,0.037 ,0.037 ,0.034 ,0.037 ,0.039 ,0.044 ,0.040 ,0.042 ,0.042 ,0.041 
