행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2017,10.0,12.0,9.0,8.0,15.0,19.0,20.0,22.0,344.0,13.0,11.0,493.0,2200.0
경기도 수원시_2017,14.0,17.0,14.0,12.0,20.0,26.0,29.0,29.0,1879.0,178.0,66.0,20801.0,68095.0
경기도 성남시_2017,12.0,16.0,13.0,11.0,19.0,25.0,29.0,28.0,1801.0,116.0,47.0,11118.0,47213.0
경기도 안양시_2017,13.0,17.0,14.0,12.0,19.0,25.0,28.0,29.0,1032.0,62.0,50.0,7048.0,29890.0
경기도 부천시_2017,14.0,16.0,13.0,11.0,18.0,24.0,28.0,25.0,1157.0,100.0,69.0,11651.0,40820.0
경기도 광명시_2017,14.0,16.0,13.0,11.0,20.0,26.0,28.0,28.0,526.0,31.0,70.0,4274.0,19436.0
경기도 평택시_2017,13.0,16.0,13.0,13.0,15.0,24.0,27.0,29.0,652.0,46.0,65.0,7866.0,28674.0
경기도 안산시_2017,13.0,17.0,14.0,12.0,18.0,24.0,28.0,28.0,940.0,85.0,78.0,9045.0,36926.0
경기도 과천시_2017,11.0,16.0,14.0,10.0,14.0,25.0,29.0,24.0,72.0,3.0,91.0,498.0,2973.0
경기도 오산시_2017,15.0,17.0,15.0,13.0,19.0,26.0,31.0,31.0,241.0,13.0,109.0,6500.0,15696.0
경기도 시흥시_2017,14.0,16.0,14.0,13.0,17.0,24.0,29.0,31.0,602.0,33.0,81.0,5461.0,25140.0
경기도 군포시_2017,14.0,16.0,14.0,13.0,20.0,25.0,28.0,31.0,412.0,33.0,72.0,3979.0,15850.0
경기도 의왕시_2017,13.0,15.0,14.0,12.0,18.0,24.0,27.0,26.0,178.0,4.0,71.0,1821.0,7487.0
경기도 하남시_2017,15.0,17.0,13.0,9.0,19.0,25.0,28.0,22.0,228.0,7.0,88.0,2620.0,12281.0
경기도 용인시_2017,15.0,17.0,14.0,13.0,18.0,26.0,30.0,31.0,1731.0,47.0,71.0,18118.0,67328.0
경기도 이천시_2017,12.0,14.0,13.0,12.0,14.0,23.0,26.0,28.0,340.0,25.0,70.0,2897.0,12988.0
경기도 안성시_2017,12.0,13.0,13.0,13.0,14.0,20.0,26.0,28.0,207.0,19.0,84.0,2685.0,10734.0
경기도 김포시_2017,14.0,17.0,14.0,12.0,16.0,25.0,29.0,28.0,586.0,33.0,74.0,9551.0,25578.0
경기도 화성시_2017,15.0,17.0,15.0,15.0,18.0,25.0,31.0,34.0,1100.0,43.0,78.0,16066.0,52593.0
경기도 광주시_2017,14.0,18.0,15.0,13.0,19.0,27.0,30.0,30.0,384.0,8.0,77.0,2734.0,17608.0
경기도 여주시_2017,12.0,12.0,10.0,11.0,15.0,18.0,24.0,23.0,106.0,7.0,82.0,1324.0,5548.0
경기도 양평군_2017,10.0,12.0,9.0,8.0,12.0,19.0,23.0,22.0,77.0,3.0,91.0,676.0,5118.0
경기도 의정부시_2017,12.0,16.0,13.0,12.0,16.0,25.0,28.0,28.0,662.0,46.0,63.0,5332.0,21918.0
경기도 동두천시_2017,11.0,15.0,12.0,11.0,14.0,23.0,25.0,24.0,93.0,6.0,73.0,844.0,5231.0
경기도 고양시_2017,13.0,17.0,14.0,12.0,19.0,25.0,30.0,29.0,1880.0,120.0,58.0,15028.0,54467.0
경기도 구리시_2017,13.0,17.0,14.0,12.0,20.0,25.0,30.0,29.0,327.0,16.0,62.0,2694.0,9780.0
경기도 남양주시_2017,14.0,17.0,14.0,12.0,18.0,25.0,28.0,29.0,877.0,24.0,83.0,10905.0,41985.0
경기도 파주시_2017,14.0,16.0,15.0,13.0,17.0,24.0,29.0,30.0,490.0,30.0,95.0,7715.0,27888.0
경기도 양주시_2017,12.0,15.0,15.0,14.0,13.0,23.0,30.0,32.0,224.0,8.0,105.0,2983.0,13026.0
경기도 포천시_2017,11.0,12.0,10.0,11.0,12.0,19.0,23.0,24.0,135.0,7.0,102.0,1260.0,7217.0
경기도 연천군_2017,11.0,9.0,7.0,10.0,14.0,14.0,21.0,24.0,39.0,0.0,98.0,431.0,1802.0
경기도 가평군_2017,10.0,10.0,11.0,10.0,10.0,17.0,23.0,24.0,60.0,4.0,91.0,374.0,2651.0
강원특별자치도 춘천시_2017,11.0,14.0,12.0,14.0,20.0,21.0,26.0,32.0,420.0,33.0,61.0,3519.0,14701.0
강원특별자치도 원주시_2017,12.0,14.0,12.0,14.0,19.0,22.0,26.0,32.0,547.0,48.0,59.0,5233.0,19531.0
강원특별자치도 강릉시_2017,11.0,13.0,13.0,12.0,18.0,19.0,26.0,28.0,366.0,42.0,53.0,1932.0,10151.0
강원특별자치도 동해시_2017,12.0,15.0,11.0,12.0,18.0,22.0,23.0,28.0,123.0,15.0,76.0,1318.0,5062.0
강원특별자치도 태백시_2017,9.0,10.0,9.0,10.0,15.0,16.0,23.0,27.0,47.0,3.0,93.0,407.0,2323.0
강원특별자치도 속초시_2017,13.0,13.0,13.0,13.0,19.0,20.0,25.0,30.0,119.0,9.0,78.0,581.0,3870.0
강원특별자치도 삼척시_2017,12.0,9.0,6.0,8.0,17.0,14.0,16.0,21.0,68.0,6.0,78.0,814.0,2783.0
강원특별자치도 홍천군_2017,10.0,7.0,8.0,12.0,14.0,12.0,19.0,29.0,77.0,4.0,78.0,661.0,2938.0
강원특별자치도 횡성군_2017,11.0,7.0,5.0,8.0,14.0,12.0,13.0,22.0,46.0,0.0,70.0,278.0,1694.0
강원특별자치도 영월군_2017,7.0,6.0,4.0,7.0,12.0,10.0,13.0,20.0,26.0,2.0,93.0,332.0,1387.0
강원특별자치도 평창군_2017,9.0,7.0,7.0,8.0,13.0,11.0,18.0,22.0,36.0,1.0,95.0,336.0,1708.0
강원특별자치도 정선군_2017,8.0,7.0,6.0,7.0,14.0,11.0,17.0,19.0,32.0,0.0,92.0,352.0,1516.0
강원특별자치도 철원군_2017,9.0,9.0,10.0,11.0,13.0,14.0,21.0,27.0,50.0,2.0,97.0,335.0,2326.0
강원특별자치도 화천군_2017,11.0,6.0,7.0,7.0,14.0,10.0,18.0,22.0,19.0,0.0,108.0,341.0,1117.0
강원특별자치도 양구군_2017,11.0,7.0,6.0,10.0,13.0,11.0,17.0,26.0,18.0,0.0,121.0,147.0,1104.0
강원특별자치도 인제군_2017,8.0,7.0,7.0,8.0,13.0,12.0,18.0,22.0,26.0,0.0,114.0,423.0,1590.0
강원특별자치도 고성군_2017,10.0,5.0,6.0,8.0,15.0,9.0,16.0,21.0,16.0,0.0,103.0,201.0,959.0
강원특별자치도 양양군_2017,7.0,6.0,7.0,9.0,11.0,9.0,16.0,21.0,21.0,1.0,97.0,228.0,962.0
경상남도 창원시_2017,13.0,14.0,13.0,11.0,22.0,22.0,27.0,28.0,1778.0,168.0,54.0,17609.0,57188.0
경상남도 진주시_2017,12.0,14.0,12.0,12.0,20.0,22.0,26.0,29.0,791.0,71.0,37.0,4169.0,19689.0
경상남도 통영시_2017,12.0,14.0,11.0,14.0,19.0,21.0,24.0,32.0,228.0,8.0,58.0,1993.0,8135.0
경상남도 사천시_2017,10.0,13.0,11.0,8.0,15.0,20.0,24.0,22.0,194.0,10.0,44.0,993.0,6417.0
경상남도 김해시_2017,13.0,16.0,13.0,14.0,21.0,23.0,29.0,33.0,1085.0,70.0,60.0,9675.0,35186.0
경상남도 밀양시_2017,12.0,10.0,10.0,11.0,17.0,17.0,24.0,24.0,136.0,9.0,47.0,1052.0,4248.0
경상남도 거제시_2017,14.0,15.0,12.0,16.0,21.0,22.0,27.0,38.0,432.0,29.0,66.0,5364.0,17487.0
경상남도 양산시_2017,13.0,15.0,13.0,14.0,22.0,22.0,28.0,34.0,468.0,27.0,66.0,7033.0,19371.0
경상남도 의령군_2017,7.0,5.0,7.0,8.0,8.0,8.0,19.0,25.0,19.0,0.0,66.0,156.0,802.0
경상남도 함안군_2017,11.0,11.0,11.0,10.0,18.0,16.0,23.0,26.0,82.0,0.0,61.0,989.0,3704.0
경상남도 창녕군_2017,10.0,8.0,8.0,10.0,14.0,13.0,21.0,20.0,52.0,5.0,58.0,575.0,2215.0
경상남도 고성군_2017,6.0,7.0,7.0,10.0,11.0,12.0,18.0,23.0,67.0,2.0,53.0,290.0,2222.0
경상남도 남해군_2017,8.0,7.0,6.0,10.0,11.0,13.0,17.0,22.0,84.0,2.0,30.0,183.0,1422.0
경상남도 하동군_2017,5.0,7.0,5.0,7.0,7.0,11.0,18.0,19.0,36.0,6.0,82.0,165.0,1645.0
경상남도 산청군_2017,7.0,6.0,5.0,6.0,11.0,10.0,15.0,17.0,23.0,1.0,99.0,182.0,1125.0
경상남도 함양군_2017,9.0,8.0,8.0,9.0,13.0,13.0,19.0,25.0,43.0,1.0,68.0,328.0,1591.0
경상남도 거창군_2017,12.0,10.0,7.0,10.0,16.0,16.0,19.0,25.0,80.0,4.0,55.0,591.0,2916.0
경상남도 합천군_2017,8.0,5.0,6.0,7.0,12.0,8.0,17.0,19.0,40.0,1.0,51.0,300.0,1256.0
경상북도 포항시_2017,13.0,15.0,11.0,11.0,20.0,23.0,25.0,25.0,735.0,61.0,54.0,8680.0,26717.0
경상북도 경주시_2017,14.0,13.0,10.0,11.0,20.0,21.0,23.0,25.0,332.0,26.0,49.0,3297.0,11757.0
경상북도 김천시_2017,13.0,12.0,8.0,10.0,18.0,19.0,20.0,25.0,120.0,16.0,74.0,2145.0,6449.0
경상북도 안동시_2017,13.0,12.0,9.0,11.0,20.0,20.0,21.0,25.0,217.0,28.0,52.0,2413.0,8235.0
경상북도 구미시_2017,14.0,16.0,12.0,14.0,20.0,25.0,25.0,32.0,815.0,62.0,58.0,10454.0,26881.0
경상북도 영주시_2017,13.0,12.0,8.0,11.0,18.0,20.0,20.0,26.0,159.0,16.0,41.0,1165.0,4982.0
경상북도 영천시_2017,11.0,10.0,7.0,9.0,16.0,18.0,18.0,23.0,95.0,9.0,57.0,724.0,3573.0
경상북도 상주시_2017,12.0,9.0,6.0,4.0,17.0,16.0,16.0,15.0,101.0,11.0,52.0,1329.0,4033.0
경상북도 문경시_2017,12.0,10.0,8.0,6.0,18.0,16.0,20.0,22.0,75.0,8.0,56.0,890.0,2918.0
경상북도 경산시_2017,11.0,13.0,12.0,14.0,17.0,22.0,24.0,28.0,306.0,25.0,55.0,4525.0,12565.0
경상북도 군위군_2017,8.0,6.0,4.0,8.0,11.0,11.0,12.0,22.0,8.0,0.0,140.0,111.0,506.0
경상북도 의성군_2017,7.0,6.0,5.0,7.0,9.0,11.0,16.0,20.0,21.0,1.0,108.0,182.0,1250.0
경상북도 청송군_2017,11.0,6.0,3.0,6.0,16.0,11.0,10.0,18.0,10.0,1.0,109.0,230.0,657.0
경상북도 영양군_2017,6.0,6.0,3.0,7.0,8.0,11.0,9.0,17.0,8.0,0.0,116.0,110.0,553.0
경상북도 영덕군_2017,8.0,8.0,5.0,9.0,9.0,14.0,15.0,21.0,31.0,0.0,70.0,147.0,1205.0
경상북도 청도군_2017,10.0,7.0,2.0,6.0,13.0,13.0,8.0,14.0,31.0,1.0,43.0,279.0,1153.0
경상북도 고령군_2017,8.0,8.0,4.0,6.0,10.0,14.0,13.0,14.0,25.0,0.0,68.0,163.0,1233.0
경상북도 성주군_2017,10.0,6.0,5.0,9.0,12.0,12.0,15.0,22.0,30.0,0.0,63.0,212.0,1225.0
경상북도 칠곡군_2017,13.0,13.0,10.0,10.0,18.0,20.0,23.0,27.0,184.0,5.0,59.0,1973.0,7001.0
경상북도 예천군_2017,9.0,8.0,5.0,9.0,13.0,14.0,15.0,22.0,30.0,3.0,76.0,249.0,1377.0
경상북도 봉화군_2017,6.0,6.0,6.0,2.0,8.0,10.0,16.0,14.0,13.0,0.0,119.0,175.0,994.0
경상북도 울진군_2017,10.0,9.0,7.0,9.0,12.0,15.0,18.0,23.0,53.0,3.0,73.0,266.0,2094.0
경상북도 울릉군_2017,13.0,7.0,2.0,9.0,14.0,11.0,9.0,23.0,2.0,0.0,543.0,117.0,284.0
광주광역시 동구_2017,11.0,10.0,9.0,13.0,17.0,18.0,19.0,30.0,191.0,116.0,26.0,844.0,3165.0
광주광역시 서구_2017,11.0,14.0,13.0,14.0,18.0,21.0,25.0,30.0,722.0,86.0,40.0,4766.0,17461.0
광주광역시 남구_2017,12.0,14.0,10.0,14.0,20.0,21.0,24.0,30.0,502.0,41.0,38.0,3980.0,12820.0
광주광역시 북구_2017,11.0,13.0,11.0,14.0,18.0,21.0,24.0,31.0,827.0,127.0,42.0,6505.0,23464.0
광주광역시 광산구_2017,13.0,15.0,12.0,14.0,20.0,23.0,26.0,33.0,872.0,72.0,57.0,8559.0,31279.0
대구광역시 중구_2017,14.0,13.0,10.0,14.0,18.0,21.0,23.0,33.0,131.0,164.0,45.0,810.0,4144.0
대구광역시 동구_2017,12.0,14.0,11.0,14.0,16.0,23.0,22.0,33.0,344.0,28.0,66.0,5567.0,17060.0
대구광역시 서구_2017,12.0,11.0,9.0,10.0,22.0,19.0,22.0,23.0,138.0,28.0,72.0,1403.0,6161.0
대구광역시 남구_2017,11.0,12.0,9.0,10.0,18.0,20.0,22.0,23.0,96.0,34.0,71.0,1675.0,4758.0
대구광역시 북구_2017,12.0,14.0,11.0,12.0,19.0,22.0,24.0,30.0,564.0,53.0,66.0,7488.0,23118.0
대구광역시 수성구_2017,11.0,15.0,12.0,14.0,19.0,24.0,25.0,32.0,909.0,55.0,42.0,6348.0,23967.0
대구광역시 달서구_2017,13.0,14.0,12.0,12.0,22.0,23.0,25.0,29.0,879.0,71.0,59.0,9887.0,32135.0
대구광역시 달성군_2017,14.0,12.0,11.0,11.0,22.0,20.0,23.0,29.0,310.0,11.0,66.0,5758.0,13365.0
대전광역시 동구_2017,11.0,13.0,11.0,11.0,16.0,20.0,26.0,27.0,181.0,33.0,92.0,2403.0,11794.0
대전광역시 중구_2017,11.0,13.0,13.0,12.0,18.0,20.0,28.0,30.0,242.0,106.0,76.0,3725.0,13082.0
대전광역시 서구_2017,11.0,15.0,12.0,11.0,19.0,22.0,27.0,27.0,758.0,127.0,63.0,7866.0,26732.0
대전광역시 유성구_2017,12.0,14.0,12.0,12.0,19.0,22.0,27.0,29.0,486.0,46.0,82.0,7387.0,23055.0
대전광역시 대덕구_2017,12.0,11.0,11.0,9.0,17.0,19.0,24.0,23.0,232.0,12.0,67.0,2631.0,9577.0
부산광역시 중구_2017,9.0,14.0,11.0,9.0,17.0,21.0,24.0,23.0,30.0,27.0,250.0,189.0,1396.0
부산광역시 서구_2017,13.0,12.0,12.0,10.0,25.0,20.0,26.0,26.0,105.0,5.0,69.0,1022.0,3694.0
부산광역시 동구_2017,12.0,12.0,11.0,12.0,20.0,18.0,24.0,24.0,42.0,31.0,96.0,820.0,2456.0
부산광역시 영도구_2017,11.0,12.0,9.0,12.0,18.0,19.0,22.0,24.0,79.0,1.0,81.0,967.0,4086.0
부산광역시 부산진구_2017,12.0,14.0,12.0,9.0,22.0,21.0,25.0,22.0,386.0,195.0,57.0,5297.0,15375.0
